experiment,pair_num,typical_noun_modifier,typical_head_noun,freq_noun_modifier,freq_head_noun,prob_noun_modifier,prob_head_noun
2,81,fuel,accident,27097,21489,0.446580802,0.914002513
2,82,oak,analysis,11565,68545,0.566450497,0.918681158
2,83,television,bag,58599,36725,0.36208809,0.933560245
2,84,capitol,basis,13799,38408,0.651713892,0.981644449
2,85,designer,belief,11727,20132,0.406071459,0.918587324
2,86,storage,bunch,15010,16753,0.500199867,0.949859727
2,87,ski,burden,15324,14148,0.529757244,0.921967769
2,88,navy,cheek,18245,9591,0.357741847,0.959962465
2,89,wildlife,clothes,15483,34679,0.58186398,0.940944087
2,90,combat,column,16676,15874,0.4435716,0.907395741
2,91,phone,creature,91101,9861,0.362718302,0.926376635
2,92,holiday,crisis,19274,41210,0.417090381,0.90215967
2,93,steel,danger,22740,23224,0.512445031,0.948975198
2,94,school,darkness,338876,17447,0.380080029,0.973118588
2,95,jet,definition,10789,18219,0.408008156,0.958889072
2,96,photo,discourse,91757,11690,0.521300827,0.900085543
2,97,voter,duty,6619,18726,0.626680767,0.9240628
2,98,finance,evidence,16414,90935,0.48799805,0.970979271
2,99,graduate,failure,21770,32096,0.552962793,0.93983674
2,100,gas,faith,47749,37922,0.465768917,0.9077844
2,101,tobacco,floor,14016,74019,0.548159247,0.910820195
2,102,wage,gaze,9851,14333,0.377322099,0.974045908
2,103,energy,gesture,83467,9098,0.375310003,0.964387778
2,104,radio,goal,50739,47911,0.413547764,0.916720586
2,105,silver,habit,26190,9806,0.56124475,0.973281664
2,106,forest,hell,36117,36325,0.376277099,0.934535444
2,107,bean,horizon,6726,11670,0.45435623,0.905569837
2,108,loan,illness,12248,16369,0.362222957,0.917038304
2,109,student,infection,103135,13641,0.437038833,0.897368228
2,110,conservation,ingredient,16342,3510,0.537449517,0.896866097
2,111,parking,inquiry,20493,10055,0.78031523,0.908403779
2,112,breast,instruction,20949,27100,0.649386606,0.903874539
2,113,management,intention,59322,9557,0.369373925,0.98336298
2,114,celebrity,knife,10557,17673,0.43336175,0.916709104
2,115,guest,lawsuit,19947,11513,0.392289567,0.955007383
2,116,cruise,lesson,10381,20462,0.418649456,0.908366729
2,117,minority,luck,22605,19258,0.60022119,0.934728425
2,118,palm,meal,15943,17285,0.49018378,0.912872433
2,119,county,mechanism,89934,9594,0.457201948,0.97696477
2,120,estate,mixture,25435,19381,0.452919206,0.976213818
2,121,lemon,mode,12974,12186,0.633420688,0.943870015
2,122,satellite,mouth,11418,49360,0.58048695,0.95595624
2,123,security,narrator,108849,15457,0.511019853,0.916219189
2,124,refugee,nature,6003,75014,0.741629185,0.906764071
2,125,labor,nose,42909,26570,0.457433173,0.928490779
2,126,volunteer,notion,11793,22376,0.420927669,0.992357883
2,127,police,origin,133213,10558,0.363560613,0.919965903
2,128,utility,oven,11200,14969,0.461964286,0.93065669
2,129,intelligence,pair,38172,28216,0.468563345,0.950240998
2,130,executive,passage,49888,17171,0.649895767,0.942752315
2,131,employment,pleasure,17978,21616,0.373122706,0.900952998
2,132,missile,portion,10244,15394,0.538949629,0.969663505
2,133,rocket,priest,7407,12296,0.438234103,0.896145088
2,134,championship,problem,15948,156669,0.366503637,0.945202944
2,135,toy,recipe,8817,11604,0.495293184,0.899431231
2,136,memorial,regulation,15175,13945,0.446128501,0.92592327
2,137,farm,religion,30014,30249,0.349870061,0.908790373
2,138,defense,restriction,74976,2392,0.389217883,0.901755853
2,139,deputy,room,15719,201837,0.589604937,0.91077949
2,140,cell,sauce,36602,19727,0.606633517,0.905611598
2,141,cookie,scandal,5468,11515,0.49012436,0.942162397
2,142,pine,sense,10891,126006,0.603709485,0.926336841
2,143,resource,shirt,16249,23452,0.529078713,0.902908068
2,144,terrorist,size,17211,59885,0.739991866,0.92024714
2,145,climate,sky,28118,41571,0.364641866,0.914291213
2,146,consumer,song,24793,39894,0.648328157,0.904572116
2,147,peer,stability,12917,14168,0.589610591,0.919042914
2,148,airline,supporter,9237,4149,0.514777525,0.932995903
2,149,twin,tendency,10599,9908,0.65751486,0.989503432
2,150,internet,tension,43447,13699,0.374041936,0.946565443
2,151,vegetable,threat,9368,36661,0.714880444,0.949510379
2,152,literacy,throat,12248,18530,0.457625735,0.940852671
2,153,credit,tongue,45318,13920,0.434838254,0.909554598
2,154,stone,topic,37492,15878,0.359756748,0.943380778
2,155,muscle,tragedy,14771,12743,0.424412701,0.964921918
2,156,welfare,trend,22205,17992,0.516415222,0.925911516
2,157,household,victory,16365,29829,0.497708524,0.915116162
2,158,fighter,wall,6780,80108,0.405309735,0.902406751
2,159,adult,weapon,29561,15305,0.598694226,0.926625286
2,160,fitness,window,12360,60737,0.496035599,0.905741146
